time,x1,x2,x3,x4,x5,x1_mean,x1_flut,x2_mean,x2_flut,x3_mean,x3_flut,x4_mean,x4_flut,x5_mean,x5_flut
3.1422,1.7336,1.1004,0.9526,0.8035,1.0056,11.644254089355522,0.019881884765700963,5.0942323852538784,0.14981177978514348,6.150029809570259,-0.031308233642590944,6.364531567382773,-0.23618186035157185,6.246980328369128,-0.045506665039057426
3.1424,1.7336,1.0983,0.9496,0.8015,1.0125,11.644254089355522,0.019881884765700963,5.0942323852538784,0.1477117797851435,6.150029809570259,-0.034308233642590946,6.364531567382773,-0.23818186035157185,6.246980328369128,-0.03860666503905752
3.1426,1.7225,1.0926,0.949,0.7965,1.0189,11.644254089355522,0.008781884765700854,5.0942323852538784,0.14201177978514345,6.150029809570259,-0.03490823364259099,6.364531567382773,-0.24318186035157185,6.246980328369128,-0.03220666503905756
3.1428,1.7493,1.0926,0.9442,0.7955,1.0265,11.644254089355522,0.03558188476570101,5.0942323852538784,0.14201177978514345,6.150029809570259,-0.03970823364259091,6.364531567382773,-0.24418186035157186,6.246980328369128,-0.024606665039057507
3.143,1.7225,1.087,0.9399,0.7935,1.0348,11.644254089355522,0.008781884765700854,5.0942323852538784,0.1364117797851434,6.150029809570259,-0.04400823364259099,6.364531567382773,-0.24618186035157186,6.246980328369128,-0.016306665039057533
3.1432,1.7358,1.0877,0.9399,0.7945,1.0433,11.644254089355522,0.022081884765700943,5.0942323852538784,0.13711177978514333,6.150029809570259,-0.04400823364259099,6.364531567382773,-0.24518186035157186,6.246980328369128,-0.007806665039057581
3.1434,1.7313,1.0836,0.9286,0.7965,1.052,11.644254089355522,0.017581884765700995,5.0942323852538784,0.13301177978514334,6.150029809570259,-0.055308233642590965,6.364531567382773,-0.24318186035157185,6.246980328369128,0.0008933349609425711
3.1436,1.7313,1.0809,0.9267,0.7995,1.0595,11.644254089355522,0.017581884765700995,5.0942323852538784,0.1303117797851434,6.150029809570259,-0.05720823364259098,6.364531567382773,-0.24018186035157185,6.246980328369128,0.008393334960942633
3.1438,1.738,1.0795,0.9221,0.8055,1.064,11.644254089355522,0.024281884765700923,5.0942323852538784,0.12891177978514334,6.150029809570259,-0.061808233642590915,6.364531567382773,-0.23418186035157185,6.246980328369128,0.012893334960942582
3.144,1.7291,1.0768,0.9169,0.8084,1.0692,11.644254089355522,0.015381884765701015,5.0942323852538784,0.12621177978514342,6.150029809570259,-0.0670082336425909,6.364531567382773,-0.23128186035157183,6.246980328369128,0.018093334960942453
3.1442,1.7358,1.0768,0.9109,0.8152,1.0712,11.644254089355522,0.022081884765700943,5.0942323852538784,0.12621177978514342,6.150029809570259,-0.0730082336425909,6.364531567382773,-0.2244818603515718,6.246980328369128,0.020093334960942455
3.1444,1.7336,1.0748,0.9054,0.8227,1.0692,11.644254089355522,0.019881884765700963,5.0942323852538784,0.12421177978514342,6.150029809570259,-0.07850823364259096,6.364531567382773,-0.21698186035157185,6.246980328369128,0.018093334960942453
3.1446,1.7313,1.0748,0.8985,0.8309,1.0673,11.644254089355522,0.017581884765700995,5.0942323852538784,0.12421177978514342,6.150029809570259,-0.08540823364259098,6.364531567382773,-0.20878186035157187,6.246980328369128,0.01619333496094244
3.1448,1.7358,1.0788,0.8921,0.8406,1.0634,11.644254089355522,0.022081884765700943,5.0942323852538784,0.12821177978514342,6.150029809570259,-0.09180823364259094,6.364531567382773,-0.19908186035157183,6.246980328369128,0.012293334960942426
3.145,1.7313,1.0755,0.884,0.8534,1.0595,11.644254089355522,0.017581884765700995,5.0942323852538784,0.12491177978514334,6.150029809570259,-0.09990823364259094,6.364531567382773,-0.1862818603515718,6.246980328369128,0.008393334960942633
3.1452,1.7425,1.065,0.8772,0.8616,1.0564,11.644254089355522,0.02878188476570087,5.0942323852538784,0.11441177978514339,6.150029809570259,-0.10670823364259097,6.364531567382773,-0.1780818603515718,6.246980328369128,0.005293334960942531
3.1454,1.7313,1.0676,0.868,0.8726,1.052,11.644254089355522,0.017581884765700995,5.0942323852538784,0.11701177978514354,6.150029809570259,-0.11590823364259095,6.364531567382773,-0.1670818603515718,6.246980328369128,0.0008933349609425711
3.1456,1.7425,1.0689,0.8591,0.8788,1.0513,11.644254089355522,0.02878188476570087,5.0942323852538784,0.1183117797851434,6.150029809570259,-0.12480823364259097,6.364531567382773,-0.16088186035157181,6.246980328369128,0.0001933349609424262
3.1458,1.7313,1.0656,0.8509,0.8913,1.0532,11.644254089355522,0.017581884765700995,5.0942323852538784,0.11501177978514354,6.150029809570259,-0.13300823364259096,6.364531567382773,-0.14838186035157186,6.246980328369128,0.002093334960942439
3.146,1.7403,1.0643,0.8415,0.9006,1.0557,11.644254089355522,0.02658188476570089,5.0942323852538784,0.11371177978514346,6.150029809570259,-0.14240823364259092,6.364531567382773,-0.13908186035157188,6.246980328369128,0.004593334960942608
3.1462,1.7313,1.0617,0.8318,0.9102,1.0595,11.644254089355522,0.017581884765700995,5.0942323852538784,0.11111177978514353,6.150029809570259,-0.15210823364259096,6.364531567382773,-0.12948186035157183,6.246980328369128,0.008393334960942633
